### GSC Performance (https://salestools.club/)
| Query | Clicks | Impressions | CTR | Position |
| :--- | :--- | :--- | :--- | :--- |
| meet alfred api documentation | 1 | 4 | 25.0% | 6.5 |
| "ai-assisted sales discovery | 0 | 1 | 0.0% | 82.0 |
| "content personalization tools | 0 | 1 | 0.0% | 100.0 |
| "crm sales automation | 0 | 3 | 0.0% | 82.3 |
| "quota attainment" filter tool or software or platform | 0 | 3 | 0.0% | 1.3 |
| 6sense vs bombora | 0 | 4 | 0.0% | 53.3 |
| a lead | 0 | 1 | 0.0% | 85.0 |
| a leads | 0 | 1 | 0.0% | 74.0 |
| a leads api | 0 | 6 | 0.0% | 6.0 |
| a-leads api documentation | 0 | 1 | 0.0% | 11.0 |


### GA4 Traffic Report (Property: 506136292)
| Page Path | Users | Sessions | Views |
| :--- | :--- | :--- | :--- |
| / | 11 | 18 | 31 |
| /how-to/automate-call-sentiment-win-correlation | 3 | 3 | 3 |
| /ai-examples | 2 | 10 | 11 |
| /how-to/automate-agent-context-builder | 2 | 2 | 2 |
| /how-to/automate-customer-domain-extractor | 2 | 2 | 2 |
| /how-to/automate-sitemap-generator | 2 | 2 | 2 |
| /how-to/automate-swot-analysis-generator | 2 | 2 | 2 |
| /ideas-database | 2 | 4 | 8 |
| /ideas/10k-report-prospector | 2 | 2 | 3 |
| /skills/integration-partner-finder | 2 | 2 | 2 |

